watermark_dir,filename,image_id,psnr_db,ssim
trustmark_watermarked,000000000139.jpg,000000000139,31.4091,0.9379
trustmark_watermarked,000000000285.jpg,000000000285,29.5256,0.9209
trustmark_watermarked,000000000632.jpg,000000000632,29.0232,0.9155
trustmark_watermarked,000000000724.jpg,000000000724,31.7825,0.9320
trustmark_watermarked,000000000776.jpg,000000000776,28.1398,0.8822
trustmark_watermarked,000000000785.jpg,000000000785,33.2487,0.9103
trustmark_watermarked,000000000802.jpg,000000000802,36.5725,0.9586
trustmark_watermarked,000000000872.jpg,000000000872,30.1972,0.9291
trustmark_watermarked,000000000885.jpg,000000000885,34.8772,0.9658
trustmark_watermarked,000000001000.jpg,000000001000,27.5090,0.9251
lsb_watermarked,000000000139.jpg,000000000139,31.6466,0.9422
lsb_watermarked,000000000285.jpg,000000000285,29.9078,0.9248
lsb_watermarked,000000000632.jpg,000000000632,29.2422,0.9198
lsb_watermarked,000000000724.jpg,000000000724,32.2361,0.9380
lsb_watermarked,000000000776.jpg,000000000776,28.2694,0.8839
lsb_watermarked,000000000785.jpg,000000000785,33.6515,0.9145
lsb_watermarked,000000000802.jpg,000000000802,37.1075,0.9605
lsb_watermarked,000000000872.jpg,000000000872,30.6990,0.9339
lsb_watermarked,000000000885.jpg,000000000885,35.2380,0.9692
lsb_watermarked,000000001000.jpg,000000001000,27.7533,0.9306
dct_watermarked,000000000139.jpg,000000000139,31.4721,0.9404
dct_watermarked,000000000285.jpg,000000000285,29.7875,0.9238
dct_watermarked,000000000632.jpg,000000000632,29.1495,0.9187
dct_watermarked,000000000724.jpg,000000000724,31.9828,0.9361
dct_watermarked,000000000776.jpg,000000000776,28.2338,0.8834
dct_watermarked,000000000785.jpg,000000000785,33.4647,0.9126
dct_watermarked,000000000802.jpg,000000000802,36.3760,0.9583
dct_watermarked,000000000872.jpg,000000000872,30.5658,0.9329
dct_watermarked,000000000885.jpg,000000000885,34.8147,0.9676
dct_watermarked,000000001000.jpg,000000001000,27.6385,0.9298
