transform_name,intensity_value,best_method,fallback_method,hash_bit_error,hash_worst_bit_error,hash_ok,trustmark_bit_accuracy,trustmark_ok,lsb_bit_accuracy,lsb_ok,dct_bit_accuracy,dct_ok,notes
brightness,0.5,trustmark,hash,0.0094,0.0341,True,0.9918,True,0.5096,True,0.8861,True,
brightness,0.7,trustmark,hash,0.0070,0.0209,True,0.9942,True,0.4827,False,0.8861,True,
brightness,0.85,trustmark,hash,0.0052,0.0103,True,0.9954,True,0.4463,False,0.8861,True,
brightness,1.15,trustmark,hash,0.0143,0.0202,True,0.9845,True,0.5312,True,0.8598,True,
brightness,1.5,trustmark,hash,0.0486,0.0737,True,0.9511,True,0.4708,False,0.8176,True,
brightness,2.0,trustmark,hash,0.0853,0.1365,True,0.8949,True,0.5108,True,0.7796,True,
contrast,0.5,trustmark,hash,0.0120,0.0505,True,0.9898,True,0.5065,True,0.8861,True,
contrast,0.7,trustmark,hash,0.0099,0.0420,True,0.9938,True,0.5116,True,0.8861,True,
contrast,0.85,trustmark,hash,0.0079,0.0317,True,0.9947,True,0.4835,False,0.8861,True,
contrast,1.15,trustmark,hash,0.0132,0.0312,True,0.9860,True,0.5124,True,0.8641,True,
contrast,1.5,hash,trustmark,0.0306,0.0489,True,0.9508,True,0.5165,True,0.8284,True,
contrast,2.0,hash,trustmark,0.0478,0.0713,True,0.8986,True,0.5147,True,0.7996,True,
saturation,0.2,trustmark,hash,0.0096,0.0505,True,0.9902,True,0.6390,True,0.8861,True,
saturation,0.43,trustmark,hash,0.0092,0.0433,True,0.9932,True,0.5935,True,0.8861,True,
saturation,0.66,trustmark,hash,0.0082,0.0348,True,0.9942,True,0.5882,True,0.8861,True,
saturation,0.89,trustmark,hash,0.0058,0.0158,True,0.9946,True,0.5898,True,0.8861,True,
saturation,1.11,trustmark,hash,0.0064,0.0187,True,0.9949,True,0.5876,True,0.8861,True,
saturation,1.34,trustmark,hash,0.0088,0.0309,True,0.9939,True,0.5880,True,0.8861,True,
saturation,1.57,trustmark,hash,0.0110,0.0377,True,0.9920,True,0.5829,True,0.8861,True,
saturation,1.8,trustmark,hash,0.0124,0.0437,True,0.9902,True,0.6529,True,0.8861,True,
vibrancy,0.2,trustmark,hash,0.0257,0.0329,True,0.9847,True,0.7069,True,0.8849,True,
vibrancy,0.43,trustmark,hash,0.0231,0.0302,True,0.9867,True,0.7145,True,0.8851,True,
vibrancy,0.66,trustmark,hash,0.0184,0.0269,True,0.9884,True,0.7082,True,0.8859,True,
vibrancy,0.89,trustmark,hash,0.0110,0.0181,True,0.9905,True,0.7057,True,0.8861,True,
vibrancy,1.11,trustmark,hash,0.0115,0.0175,True,0.9939,True,0.6988,True,0.8861,True,
vibrancy,1.34,trustmark,hash,0.0323,0.0472,True,0.9714,True,0.6869,True,0.8794,True,
vibrancy,1.57,trustmark,hash,0.0533,0.0733,True,0.9357,True,0.6855,True,0.8655,True,
vibrancy,1.8,hash,trustmark,0.0799,0.1143,True,0.8788,True,0.7012,True,0.8500,True,
gaussian_blur,0.5,trustmark,hash,0.0018,0.0053,True,0.9952,True,0.8245,True,0.8861,True,
