transform_name,intensity_value,best_method,fallback_method,hash_bit_error,hash_worst_bit_error,hash_ok,trustmark_bit_accuracy,trustmark_ok,lsb_bit_accuracy,lsb_ok,dct_bit_accuracy,dct_ok,notes
brightness,0.5,trustmark,hash,0.0097,0.0345,True,0.9900,True,0.5022,True,0.9033,True,
brightness,0.7,trustmark,hash,0.0068,0.0195,True,0.9933,True,0.4863,False,0.9033,True,
brightness,0.85,trustmark,hash,0.0050,0.0104,True,0.9940,True,0.4790,False,0.9033,True,
brightness,1.15,trustmark,hash,0.0137,0.0193,True,0.9874,True,0.5143,True,0.8770,True,
brightness,1.5,trustmark,hash,0.0461,0.0729,True,0.9543,True,0.4788,False,0.8354,True,
brightness,2.0,trustmark,hash,0.0813,0.1326,True,0.8987,True,0.5238,True,0.7944,True,
contrast,0.5,trustmark,hash,0.0117,0.0492,True,0.9879,True,0.4995,False,0.9033,True,
contrast,0.7,trustmark,hash,0.0097,0.0414,True,0.9928,True,0.4962,False,0.9033,True,
contrast,0.85,trustmark,hash,0.0081,0.0317,True,0.9941,True,0.5041,True,0.9033,True,
contrast,1.15,trustmark,hash,0.0125,0.0310,True,0.9863,True,0.5080,True,0.8806,True,
contrast,1.5,hash,trustmark,0.0308,0.0504,True,0.9451,True,0.5102,True,0.8449,True,
contrast,2.0,hash,trustmark,0.0483,0.0711,True,0.8842,True,0.5149,True,0.8134,True,
saturation,0.2,trustmark,hash,0.0099,0.0517,True,0.9889,True,0.6294,True,0.9033,True,
saturation,0.43,trustmark,hash,0.0095,0.0445,True,0.9928,True,0.5685,True,0.9033,True,
saturation,0.66,trustmark,hash,0.0083,0.0353,True,0.9938,True,0.5650,True,0.9033,True,
saturation,0.89,trustmark,hash,0.0059,0.0164,True,0.9944,True,0.5677,True,0.9033,True,
saturation,1.11,trustmark,hash,0.0062,0.0174,True,0.9943,True,0.5784,True,0.9033,True,
saturation,1.34,trustmark,hash,0.0092,0.0348,True,0.9932,True,0.5753,True,0.9032,True,
saturation,1.57,trustmark,hash,0.0115,0.0423,True,0.9915,True,0.5747,True,0.9030,True,
saturation,1.8,trustmark,hash,0.0134,0.0472,True,0.9894,True,0.6346,True,0.9029,True,
vibrancy,0.2,trustmark,hash,0.0281,0.0358,True,0.9825,True,0.7105,True,0.9015,True,
vibrancy,0.43,trustmark,hash,0.0247,0.0321,True,0.9845,True,0.7113,True,0.9021,True,
