method,metric,transform_name,intensity_value,n_images,mean,median,sd,ci_level,ci_method,ci_low,ci_high,bootstrap_seed,bootstrap_repetitions
dct,bit_accuracy,brightness,0.5,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.896615,0.909966,20260812,2000
dct,bit_accuracy,brightness,0.7,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.896224,0.909898,20260812,2000
dct,bit_accuracy,brightness,0.85,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.896105,0.909813,20260812,2000
dct,bit_accuracy,brightness,1.15,1200,0.877024,0.918367,0.133398,0.95,percentile_bootstrap_mean,0.869659,0.884609,20260812,2000
dct,bit_accuracy,brightness,1.5,1200,0.835408,0.857143,0.149780,0.95,percentile_bootstrap_mean,0.826631,0.843555,20260812,2000
dct,bit_accuracy,brightness,2.0,1200,0.794439,0.795918,0.159904,0.95,percentile_bootstrap_mean,0.785391,0.804763,20260812,2000
dct,bit_accuracy,contrast,0.5,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.896378,0.910289,20260812,2000
dct,bit_accuracy,contrast,0.7,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.895986,0.910136,20260812,2000
dct,bit_accuracy,contrast,0.85,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.896394,0.909983,20260812,2000
dct,bit_accuracy,contrast,1.15,1200,0.880646,0.918367,0.130744,0.95,percentile_bootstrap_mean,0.873163,0.887943,20260812,2000
dct,bit_accuracy,contrast,1.5,1200,0.844949,0.857143,0.141996,0.95,percentile_bootstrap_mean,0.837074,0.853062,20260812,2000
dct,bit_accuracy,contrast,2.0,1200,0.813384,0.816327,0.150796,0.95,percentile_bootstrap_mean,0.804812,0.821480,20260812,2000
dct,bit_accuracy,crop_center,0.1,1200,0.502857,0.510204,0.073260,0.95,percentile_bootstrap_mean,0.498656,0.506939,20260812,2000
dct,bit_accuracy,crop_center,0.2,1200,0.498503,0.489796,0.074634,0.95,percentile_bootstrap_mean,0.494353,0.502654,20260812,2000
dct,bit_accuracy,crop_center,0.3,1200,0.503367,0.510204,0.074908,0.95,percentile_bootstrap_mean,0.499166,0.507653,20260812,2000
dct,bit_accuracy,crop_center,0.4,1200,0.503639,0.510204,0.071875,0.95,percentile_bootstrap_mean,0.499506,0.507653,20260812,2000
dct,bit_accuracy,crop_center,0.5,1200,0.499218,0.489796,0.072112,0.95,percentile_bootstrap_mean,0.495102,0.503198,20260812,2000
dct,bit_accuracy,crop_center,0.6,1200,0.497704,0.489796,0.069977,0.95,percentile_bootstrap_mean,0.493757,0.501429,20260812,2000
dct,bit_accuracy,crop_center,0.7,1200,0.500102,0.510204,0.073514,0.95,percentile_bootstrap_mean,0.495663,0.504320,20260812,2000
dct,bit_accuracy,crop_center,0.8,1200,0.500782,0.510204,0.073103,0.95,percentile_bootstrap_mean,0.496633,0.504797,20260812,2000
dct,bit_accuracy,crop_random,0.1,1200,0.502296,0.489796,0.079465,0.95,percentile_bootstrap_mean,0.497754,0.506871,20260812,2000
dct,bit_accuracy,crop_random,0.2,1200,0.502483,0.510204,0.076388,0.95,percentile_bootstrap_mean,0.498078,0.506871,20260812,2000
dct,bit_accuracy,crop_random,0.3,1200,0.503316,0.510204,0.073756,0.95,percentile_bootstrap_mean,0.499439,0.507450,20260812,2000
dct,bit_accuracy,crop_random,0.4,1200,0.501956,0.510204,0.075475,0.95,percentile_bootstrap_mean,0.497703,0.506310,20260812,2000
dct,bit_accuracy,crop_random,0.5,1200,0.499490,0.489796,0.074414,0.95,percentile_bootstrap_mean,0.495016,0.503759,20260812,2000
dct,bit_accuracy,crop_random,0.6,1200,0.500731,0.510204,0.071586,0.95,percentile_bootstrap_mean,0.496818,0.504830,20260812,2000
dct,bit_accuracy,crop_random,0.7,1200,0.497585,0.489796,0.075346,0.95,percentile_bootstrap_mean,0.493299,0.501803,20260812,2000
dct,bit_accuracy,crop_random,0.8,1200,0.502738,0.510204,0.073425,0.95,percentile_bootstrap_mean,0.498452,0.506667,20260812,2000
dct,bit_accuracy,gaussian_blur,0.5,1200,0.903265,0.959184,0.121853,0.95,percentile_bootstrap_mean,0.896343,0.910307,20260812,2000
dct,bit_accuracy,gaussian_blur,1.0,1200,0.898129,0.959184,0.127663,0.95,percentile_bootstrap_mean,0.890918,0.904984,20260812,2000
dct,bit_accuracy,gaussian_blur,1.5,1200,0.880918,0.938776,0.142712,0.95,percentile_bootstrap_mean,0.872670,0.888913,20260812,2000
dct,bit_accuracy,gaussian_blur,2.0,1200,0.851173,0.918367,0.161415,0.95,percentile_bootstrap_mean,0.842006,0.860205,20260812,2000
dct,bit_accuracy,gaussian_blur,3.0,1200,0.783078,0.816327,0.181806,0.95,percentile_bootstrap_mean,0.773078,0.793300,20260812,2000
dct,bit_accuracy,gaussian_blur,5.0,1200,0.622534,0.612245,0.128938,0.95,percentile_bootstrap_mean,0.615117,0.629898,20260812,2000
dct,bit_accuracy,jpeg_compression,10,1200,0.641054,0.653061,0.062314,0.95,percentile_bootstrap_mean,0.637636,0.644558,20260812,2000
dct,bit_accuracy,jpeg_compression,20,1200,0.890544,0.938776,0.127937,0.95,percentile_bootstrap_mean,0.883469,0.897823,20260812,2000
dct,bit_accuracy,jpeg_compression,35,1200,0.898282,0.938776,0.123290,0.95,percentile_bootstrap_mean,0.891462,0.905476,20260812,2000
dct,bit_accuracy,jpeg_compression,5,1200,0.619762,0.653061,0.060109,0.95,percentile_bootstrap_mean,0.616360,0.622994,20260812,2000
dct,bit_accuracy,jpeg_compression,50,1200,0.903197,0.959184,0.121913,0.95,percentile_bootstrap_mean,0.896122,0.910000,20260812,2000
dct,bit_accuracy,jpeg_compression,65,1200,0.903248,0.959184,0.121824,0.95,percentile_bootstrap_mean,0.896003,0.909917,20260812,2000
dct,bit_accuracy,jpeg_compression,80,1200,0.903265,0.959184,0.121833,0.95,percentile_bootstrap_mean,0.895918,0.909728,20260812,2000
dct,bit_accuracy,jpeg_compression,95,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896614,0.910120,20260812,2000
dct,bit_accuracy,letterbox,black,1200,0.636088,0.653061,0.082765,0.95,percentile_bootstrap_mean,0.631275,0.640765,20260812,2000
dct,bit_accuracy,letterbox,grey,1200,0.635850,0.653061,0.083185,0.95,percentile_bootstrap_mean,0.631122,0.640935,20260812,2000
dct,bit_accuracy,none,,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896462,0.910189,20260812,2000
dct,bit_accuracy,rotation,1,1200,0.472993,0.469388,0.065796,0.95,percentile_bootstrap_mean,0.469065,0.476769,20260812,2000
dct,bit_accuracy,rotation,10,1200,0.574915,0.571429,0.052339,0.95,percentile_bootstrap_mean,0.571990,0.577841,20260812,2000
dct,bit_accuracy,rotation,2,1200,0.542670,0.551020,0.050543,0.95,percentile_bootstrap_mean,0.539642,0.545425,20260812,2000
dct,bit_accuracy,rotation,20,1200,0.573793,0.571429,0.046799,0.95,percentile_bootstrap_mean,0.571190,0.576446,20260812,2000
dct,bit_accuracy,rotation,45,1200,0.581922,0.591837,0.054075,0.95,percentile_bootstrap_mean,0.578793,0.585102,20260812,2000
dct,bit_accuracy,rotation,5,1200,0.578401,0.591837,0.053649,0.95,percentile_bootstrap_mean,0.575356,0.581565,20260812,2000
dct,bit_accuracy,rotation,70,1200,0.567704,0.571429,0.060586,0.95,percentile_bootstrap_mean,0.564421,0.571073,20260812,2000
dct,bit_accuracy,rotation,90,1200,0.505442,0.510204,0.074878,0.95,percentile_bootstrap_mean,0.501326,0.509541,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.01,1200,0.863197,0.897959,0.116796,0.95,percentile_bootstrap_mean,0.856920,0.870018,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.02,1200,0.826939,0.857143,0.113791,0.95,percentile_bootstrap_mean,0.820339,0.833333,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.04,1200,0.763622,0.775510,0.109507,0.95,percentile_bootstrap_mean,0.757328,0.769864,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.06,1200,0.717007,0.734694,0.107122,0.95,percentile_bootstrap_mean,0.710901,0.722807,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.1,1200,0.659677,0.673469,0.098327,0.95,percentile_bootstrap_mean,0.654167,0.665426,20260812,2000
dct,bit_accuracy,salt_pepper_noise,0.15,1200,0.619643,0.632653,0.091122,0.95,percentile_bootstrap_mean,0.614387,0.624830,20260812,2000
dct,bit_accuracy,saturation,0.2,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896206,0.910153,20260812,2000
dct,bit_accuracy,saturation,0.43,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896088,0.909798,20260812,2000
dct,bit_accuracy,saturation,0.66,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896715,0.910069,20260812,2000
dct,bit_accuracy,saturation,0.89,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896394,0.910170,20260812,2000
dct,bit_accuracy,saturation,1.11,1200,0.903282,0.959184,0.121837,0.95,percentile_bootstrap_mean,0.896308,0.910222,20260812,2000
dct,bit_accuracy,saturation,1.34,1200,0.903231,0.959184,0.121857,0.95,percentile_bootstrap_mean,0.896241,0.910052,20260812,2000
dct,bit_accuracy,saturation,1.57,1200,0.903027,0.959184,0.122094,0.95,percentile_bootstrap_mean,0.896343,0.909711,20260812,2000
dct,bit_accuracy,saturation,1.8,1200,0.902925,0.959184,0.122186,0.95,percentile_bootstrap_mean,0.895645,0.909643,20260812,2000
dct,bit_accuracy,scaling,0.25,1200,0.488861,0.489796,0.073746,0.95,percentile_bootstrap_mean,0.484744,0.492841,20260812,2000
dct,bit_accuracy,scaling,0.5,1200,0.500221,0.489796,0.074374,0.95,percentile_bootstrap_mean,0.495969,0.504303,20260812,2000
dct,bit_accuracy,scaling,0.75,1200,0.507806,0.510204,0.062985,0.95,percentile_bootstrap_mean,0.504235,0.511463,20260812,2000
dct,bit_accuracy,scaling,1.5,1200,0.538095,0.551020,0.057333,0.95,percentile_bootstrap_mean,0.535000,0.541361,20260812,2000
dct,bit_accuracy,scaling,2.0,1200,0.499405,0.510204,0.078374,0.95,percentile_bootstrap_mean,0.495203,0.503741,20260812,2000
dct,bit_accuracy,scaling,3.0,1200,0.478197,0.469388,0.076152,0.95,percentile_bootstrap_mean,0.473945,0.482517,20260812,2000
dct,bit_accuracy,vibrancy,0.2,1200,0.901548,0.959184,0.123674,0.95,percentile_bootstrap_mean,0.894048,0.908232,20260812,2000
dct,bit_accuracy,vibrancy,0.43,1200,0.902109,0.959184,0.123171,0.95,percentile_bootstrap_mean,0.894693,0.908759,20260812,2000
dct,bit_accuracy,vibrancy,0.66,1200,0.902840,0.959184,0.122293,0.95,percentile_bootstrap_mean,0.895816,0.909303,20260812,2000
dct,bit_accuracy,vibrancy,0.89,1200,0.903197,0.959184,0.121870,0.95,percentile_bootstrap_mean,0.895781,0.909796,20260812,2000
dct,bit_accuracy,vibrancy,1.11,1200,0.903044,0.959184,0.121798,0.95,percentile_bootstrap_mean,0.895900,0.909847,20260812,2000
dct,bit_accuracy,vibrancy,1.34,1200,0.893997,0.938776,0.128519,0.95,percentile_bootstrap_mean,0.887075,0.901242,20260812,2000
dct,bit_accuracy,vibrancy,1.57,1200,0.876241,0.918367,0.138212,0.95,percentile_bootstrap_mean,0.868418,0.883656,20260812,2000
dct,bit_accuracy,vibrancy,1.8,1200,0.855969,0.897959,0.148143,0.95,percentile_bootstrap_mean,0.847498,0.863793,20260812,2000
dct,decode_present,brightness,0.5,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,brightness,0.7,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,brightness,0.85,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,brightness,1.15,1200,0.282500,0.000000,0.450403,0.95,wilson_binomial,0.257752,0.308636,,
dct,decode_present,brightness,1.5,1200,0.215833,0.000000,0.411571,0.95,wilson_binomial,0.193483,0.239997,,
dct,decode_present,brightness,2.0,1200,0.160000,0.000000,0.366759,0.95,wilson_binomial,0.140347,0.181823,,
dct,decode_present,contrast,0.5,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,contrast,0.7,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,contrast,0.85,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,contrast,1.15,1200,0.289167,0.000000,0.453564,0.95,wilson_binomial,0.264220,0.315459,,
dct,decode_present,contrast,1.5,1200,0.233333,0.000000,0.423129,0.95,wilson_binomial,0.210277,0.258092,,
dct,decode_present,contrast,2.0,1200,0.194167,0.000000,0.395723,0.95,wilson_binomial,0.172777,0.217509,,
dct,decode_present,crop_center,0.1,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.2,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.3,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.4,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.6,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.7,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.8,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.1,1200,0.000833,0.000000,0.028868,0.95,wilson_binomial,0.000147,0.004705,,
dct,decode_present,crop_random,0.2,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
