experiment,image_id,filename,method,transform,transform_parameters,alignment_mode,metric,metric_value,runtime_seconds,failure
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,rotation,"{""intensity"": 5}",none,hamming_distance,8,0.019649,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,rotation,"{""intensity"": 5}",none,hamming_distance,8,0.018539,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,rotation,"{""intensity"": 5}",none,hamming_distance,7,0.016229,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,rotation,"{""intensity"": 5}",none,hamming_distance,6,0.014501,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,rotation,"{""intensity"": 5}",oracle,hamming_distance,6,0.015736,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,rotation,"{""intensity"": 5}",oracle,hamming_distance,6,0.017800,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,rotation,"{""intensity"": 5}",oracle,hamming_distance,1,0.015645,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,rotation,"{""intensity"": 5}",oracle,hamming_distance,2,0.017239,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000740,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000512,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000426,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,rotation,"{""intensity"": 5}",estimated,hamming_distance,,0.000534,OpenCV/numpy unavailable for estimated alignment
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,rotation,"{""intensity"": 20}",none,hamming_distance,15,0.020287,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,rotation,"{""intensity"": 20}",none,hamming_distance,15,0.015415,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,ahash,rotation,"{""intensity"": 20}",none,hamming_distance,13,0.014483,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,whash,rotation,"{""intensity"": 20}",none,hamming_distance,13,0.014104,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,phash,rotation,"{""intensity"": 20}",oracle,hamming_distance,10,0.015297,
geometric_sync_pilot_v1,000000000139,000000000139.jpg,dhash,rotation,"{""intensity"": 20}",oracle,hamming_distance,6,0.016738,
